	text	inappropriate	human_labeled	offline_crime	online_crime	drugs	gambling	pornography	prostitution	slavery	suicide	terrorism	weapons	body_shaming	health_shaming	politics	racism	religion	sexual_minorities	sexism	social_injustice	none	toxic_new
10	Мань, этот разговор о Крыме не я начал.Ну да, были, чтобы обеспечить порядок при проведении референдума. Ведь иначе хунта устроила бы там второй Донбасс с расстрелами мирных жителей.В гугле забанили?	 Мань, этот разговор не я начал. Ну да, были, чтобы обеспечить порядок при проведении референдума. Ведь иначе хунта устроила бы там второй Донбасс с расстрелами мирных граждан.В гугле забанили?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.6533982753753662
11	Почему у хаоситов такой нездоровый цвет кожи?	 Почему у вас такая кожа смурная? Что у вас такая кожа 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.7301468849182129
12	Очень быстро кончаю и ничего не могу с собой поделать, как увеличить время полового акта?	 быстро кончаю и ничего не могу с собой поделать, как увеличить время полового акта?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5012719035148621
13	А у нас старухе врачи отпилили вместо больной ноги здоровую.. Ну и кто теперь круче в медицине?	 А у нас старухе врачи отпилили вместо больной ноги здоровую.. Ну и кто теперь умнее в медицине?	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5125283002853394
14	Искуство продать картину на 1.5 миллионаза пару доз наркотика	 Искуство продать картину на 1.5 миллиона за пару доз наркотика. Цена в	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030157705768942
15	Можете поумнеть. Молитва помогает и в этом.	 Можете поумнеть. Молитва помогает и в этом.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.2364519834518433
16	МимовирусописательСОЗДАЁМ 1.txt в C:\ ТУДА    stt tsg.x    stt C:\1.t 1.txt в 1.t	 Мимовиру жесть. Разоблачаем. Смешно. Мда.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5120081901550293
17	Да я уж 15 столетий в таблицу не попадал. Щас выпилюсь с пруфами.	 Да мы уж 15 столетий в таблицу не попадали. Щас выпьем с ними. Посмотрим, 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1444289833307266
18	жратву из рестика с доставкой,не интересуеткогда хочется лежать и ничего не делать?никогдаШлюшку на дом? подруг зову Возможность отдыхать целый сезон?да, ведь я 30к получаю со сдачи жилплощади	 расист с доставкой, не интересует когда хочется лежать и ничего не делать?никогдаШлюшку на дом? подруг зову Возможность отдохнуть весь сезон?да, ведь я 30к получаю со сдачи жилплощади?ужас, жаль, но пр	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0123050455003976
19	Ну привет Маря, ну рассказывай, сколько сигарет скурила?	 Привет, дорогой Маря, ну расскажите сколько сигарет вы курили?	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702281653881073
20	Благодарю. Полагаю эсминцы в эскорте с вурфгератами?	 Благодарю. Надеюсь миноцы в группе с вурфгренатами?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3080267310142517
21	И из 10 прогулок будет 1 секс. Всё просто. Так целкости и лишаются.	 И из 10 прогулок будет 1 секс. Всё просто. Так лишатся.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351189859211444
22	"""Gy"" сказал:несколько дней назад, как ни странно, думала о том, как можно покончить жизнь самоубийством, находясь в психиатрической лечебнице. моя бурная и неудержимая фантазия выдала мне не один десяток вариантов и стало чуть-чуть страшное..."	" ""Gyra"" сказал:несколько лет назад, как ни странно, думала о том, как можно покончить жизнь самоубийством. мое бурное воображение выдал мне не один десяток вариантов и стало немного страшно..."	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0016749405767768
23	Мне один гей жаловался на жизнь в вэкашке и писал что я красивый.	 Один гей жаловался на жизнь вэкашке и писал что я красивый.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.7369409799575806
24	Главным чудом Иисуса было найти людей с именами Пётр, Павел, Иоанн, Матвей, и так далее, на Ближнем Востоке?	 Главное чудо Иисуса было найти людей с именами Пётр, Павел, Иоанн, Матвей, и так далее, на Ближнем Востоке?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.334135502576828
25	с утра башку давит. Может алкоголя дерябнуть для расширения сосудов мозга?	 утром башку давит. Может алкоголя быть? Тогда, возможно, вам лучше сменить сферу де	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5897932648658752
26	 лет минимум до появления такой йобы ? Просто до сих пор не могут запилить нормальный онлайн переводчик, который был б не похож на промит. Генерирование кода.	 минимум до появления такой системы? Просто до сих пор не могут написать нормальный переводчик, который не походил бы на Промит. Геномодификация.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.02832274697721
27	 Инсценировка самоубийства. Человек сидел на стуле лицом к окну. После пришел кто то, он начал оборачиваться и получил пулю. Дальше все очевидно.	 инсценировка самоубийства. Человек сидел на стуле лицом к окну. После пришел кто то, он стал оборачиваться и получил пулю. Дальше все очевидно.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1294920742511749
28	Ну они не верят что узбек может придти к просто девачке без богатого папочки, который помогает.	 Ну они не верят что узбек может прийти к просто девушке без папы, который помогает.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.4062838852405548
29	Перед тем как он схватил чувака и защищался им от пуль он сам пробил его выстрелом и пуля пробила еще деревяшку и улетела в другую комнату, а потом его тушка спасла от пуль негра	 Сначала он схватил того самого человека и защищал их от пуль он сам пострадал от пуль он сам убит от пуль.	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.4931964874267578
30	Раба продать можно.А эти просто работали за еду и водяру.	 Раба купить можно. А эти просто работали за еду и водку.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2643065750598907
31	"Живем вместе.Это ненадолго. Она скоро поймет, что секс можно получить не только от тебя. А вот всякие ""поддержку"", ""поговорить"" и так далее - от тебя уже не получишь."	" Жили вместе. Это ненадолго. Она скоро поймет, что секс можно получить не только от вас. А вот всякие ""поддержку"" и так далее - от вас уже не получите."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.1939893364906311
32	Татуаж бровей уже не новинка давно а татуаж лобка когда войдет в моду?	 тута же проблема уже не новинка а татуаж бровей уже не новинка?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4938205480575562
33	эххх как же хочется рассказы про футфетиш с фемдомом почитать...	 эххх как же хочется рассказы про футфетиш с фемомдомом прочитать... извин	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.010316714644432
34	А это не обязательно. Еще до оргазма со смазкой выделяется немного спермы, есть шанс забеременеть, даже если практикуете ППА.	 А это не обязательно. Еще до оргазма со смазкой выделяется немного спермы, есть шанс забеременеть, даже если практикуете ПА.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948174893856048
35	Длинные тонкие элегантные ножки. Корявые полена фигуристок и рядом не валялись.	 Длинный элегантный нож. Корявый полена фигуристок и рядом не валялись.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.1647630184888839
36	Вот манька то плохо верила, потому бог и не благословил её!	 Маниха же плохо верила, потому бог и не благословил её!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.4725626409053802
37	Вооот, уже бюрократы появляются. Страны еще нет, а они уже думают как бы утопить ее в бумагах.	 Ох вау, уже бюрократы появляются. Страны еще нет, а они уже думают как бы утопить ее в бумаге.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.4413716197013855
38	Быть богатым в белорашке лучше чем быть монархом в некоторых странах	 Быть богатым в бело-разноречивой стране лучше чем быть монархом в некоторых с	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0188431553542614
39	Назад уже ничего не вернёшь, мы живем в другое время. Сейчас при желании в любой приличный секс шоп зайдёшь- хоть женщину, хоть мужчину можно по частям собрать.	 Назад уже ничего не вернёте, мы живем в другом времени. Сейчас при желании в любой приличный секс шоп зайдете- хоть женщину, хоть мужчину можно по частям собрать. Кстати	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0034628394059836
40	Выпучивание глаз - единственное из мимики, что доступно калеке.	 Выпучивание глаз - единственное из мимики. что доступно ребенку.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.6422123312950134
41	асбурдный вопрос изначально. - хоть по   руб. вноси - всё разворуют и пошлют нах::: в итоге.	 извините, но мне вас очень жаль, если вы начнете вносить свой депозит в размере 50 тысяч рублей.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0052514630369842
42	Я снимаю в мухосрани квартиру с квартплатой в 14 тысяч, 7 из них мне отдает тян, 5 на бензин, остальные на еду и вещества, вот и вся жизнь моя	 я снимаю в квартире с зарплатой в 14 тысяч, 6 из них мне отдаеттян. Вот и вся жизнь моя.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0027198675088584
43	Как узнать номер телефона или I или общую информацию о владельце только по ID страницы ВК ?	 Как узнать номер телефона или I или общую информацию о владельце только по ID страницы?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0281286910176277
44	Если технари - будут ТЗ писать, чертежи рисовать, в матлабе расчёты делать, программировать дилдаки на ардуино.	 технари - будут ТЗ писать, чертежи рисовать, в мате ходить.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.2101710438728332
45	Уже менялись, ананас. Бывало и по 80-90к в месяц на первый сливал, сейчас все в прошлом, ограничиваюсь марьей ивановной 2-3 раза в неделю, да и той пару колпаков, чисто чтобы заснуть.	 Менялись, дорогой. Бывало и по 80-90к в месяц на первый сливали, сейчас все в прошлом,ограничиваются марью ивановной 2-3 раза в неделю, да и того пару колпаков, чисто для сна.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011183496098965
46	Можете скинуть американские сайты, типа как наши авито, юла	 Вы можете скинуть американские сайты, типа как наши авито. У вас ест	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0342709422111511
47	Потому что там и зарплаты большие. В Крыму вообще очень стабильно и хорошо живется, не то что при Усраине было.	 Только там и зарплаты высокие. В Крыму вообще очень стабильно и хорошо живут. В Крыму вообще очень стабильно и хорошо жи	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.0016495026648044
48	Чтоб разъедало надо ультрафиолетовую лампочку глотать.	 Чтобы разъезало надо ультрафиолетовую лампу глотать.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.2422304451465607
49	Если девушки не знакомятся с парнем, то этот парень неликвидный самец и он никому не нужен?	 Девушки не знакомятся с парнем, то этот парень никому не нужен?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.2455693930387497
50	Муна - идеальный без спойлеров и почти без педий первый раз. Муна - одевать, поить. Муна, спасибо. Знающий, как играть, - портит - неправда. Муна - нужно ловить и тискать до отказа почек, до искр из глаз.	 Мина - идеальный без спойлеров и почти безпедия первый раз. Девушка - хороший, но немного недалекий. Знающий, как играть, - портит. Девушка - хороший, но немного недалекий. Знающий, как играть, - нехороший человек	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.4773494899272919
51	Дак полно гайдов, вопрос в том насколько хочется заморачиваться. Большинству зайдет впн/сидбокс.	 Добрый человек много ли знает о законах, знает ли он как много лишнего знает. Большинству людей будет неп	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131411114707589
52	тык ты даже не потеешь - зачем мыться? кожа облезет от 6-разового мытья в сутки	 вы зачем вытираетесь? кожа облезет от 6-разового мытья в сутки.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0126382699236273
53	Все бы ничего, но почему поет кавказец? Из военной песни становится похоже на нашид.	 Все бы ничего, но почему поет кавказец? Из военной песни становится похоже на нас.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.3697024881839752
54	Почему? Оно в этих бутиках стоит не на много дороже, конечно не как всякие балтики тройки, но балтика тройка это писдец, когда ты уже выбухал литрушку водки с корешом и едешь домой если только попить через соломинку лол	 Почему? Оно в этих магазинах стоит не на много дороже, конечно не как всякие продукты тройки, но балтика тройка это ужасен, когда вы уже выпитую бутылку водки с корешем и едете домой если только выпить через соломинку.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2922282218933105
55	Если есть грудь и бедра уменьшить талию... Если нет то забей	 Есть грудь и бедра уменьшить... Если нет то закрой свой рот... Иначе 	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.2054081410169601
56	это как с сигаретами, вроде все понял ребенок, но при этом лучше зажевывать стал и шифроваться... ни кто из за мирных разговоров не бросит курить... если рака легких еще нет... а даже если и есть рак не каждый бросит... а зачем уже бросать то...	 как с сигаретами, вроде все понял ребенок, но при этом лучше зажевывайте выучите еще раз свой ребенок понял, что такое ложь. но при этом лучше зажевывайте выучите выучите еще раз свой ребенок понимает, что такое ложь. Но при этом лучше не рисковать. если	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000526774500031
57	Мамкин аметист в 13 лет прохавал суть мировых религий и теперь раскрывает её всем желающим.	 Мамин аффект в 14 лет прохавал суть мировых религий и теперь раскрывает её всем желающим.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.6946887373924255
58	"Предлагаем Вам услуги взлома соц. сетей ""Вконтакте"", ""Одноклассники""  d s . Услуги взлома почтовых систем ., g. d s .Взлом V,stg,wts d s ."	 Предлагаем Вам услуги взлома социальных сетей. Услуги предоставляются в двух случаях. Первый - при наличии у Вас желания и возможности. Второй - пр	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525360032916069
59	Куришь сигареты всегда одна, может стреляешь у наркоманов, которые могут и намешать с торчевом?	 Курение всегда одна, могут и намешать с торчевом?	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.670453667640686
60	Как открыть без ключа почтовый ящик?	 Как открыть без ключа почтовый ящик? Как откр	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384480841457843
61	Под дулами автоматов голосовали или сами волеизъявлялись	 Пригожин тебя теперь из политики выпускает, чмо? Или сам в полити	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.318196028470993
62	А 2 недели назад я снова захожу в казино.	 А месяц назад я снова захожу в казино.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003290826221928
63	Это должны росияне понять а не мир	ройте себе могилы, чтобы росиянам не мучили.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.5307080149650574
64	Та торрен-трекерах есть всё, что надо.	 Есть всё, что надо. Но что надо - не знаю. Знач	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376199074089527
65	Так же пью, потом считаю большой удачей если я проснулся дома.	 Так же пью, потом считаю большой удачей если я проснулся дома.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026354889851063
66	Плюсы это другая контора. Да и Новый и СТБ хоть и в одном холдинге, но внутри всё совершенно по-разному. СТБ это вообще дно и мясорубка. Лучше его десятой дорогой обходить	 Простите, но мне вас очень жаль, если вы начнёте пользоваться услугами этого холдинга. Да и Новый и СТБ хоть и в одном холдинге, но внутри всё совершенно по-разному. СТБ это совсем	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0036696002352982
67	Вы видели, сколь россиян занимается спортом, а только бухают в двадцать раз больше, не говоря о нариках.	 Вы видели, сколь россиян занимается спортом, а только бухают в двадцать раз больше. Не говоря о нарицах.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6060561537742615
68	Потомки крепостных останутся рабами . нужен внешний фактор	 потомки крепостных останутся рабами. нужен внешний фактор  потомки 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4774999618530274
69	Прокуратура епт США и заставила экстрадировать чиновников ФИФА из третьих стран	 прокуратура РФ заставила экстрадировать россиян из третьих стран, чтобы обеспечить их пр	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.051463559269905
70	Одногруппник привёл в бк и тут понеслось... Но... Я никогда не уходил в минус на большие суммы... Кроме последних лет.	 Двужиратели привели в бк и тут понеслось... Но... Я никогда не уходил в минус на большие суммы... Кроме последних лет.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011878703953698
71	может не кажишин а гашишиин? тогда это секта убийц в исламенамаз - молитва	 не волнуйтесь, пожалуйста, я же любя и по-дружески. надеюсь, вы поняли, что я - не 	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0351733490824699
72	Подпись под темой - У депрессивников и суицидников есть родные и близкие - и да только родным мы и нужны, а часто также вообще Никому!И также бывает родной по крови - но НЕ близкий, близкий - а лишь в инете и совсем далеко на другом конце света.	 Подпишитесь под темой - У вас депрессия и проблемы с близкими. У вас есть родные и близкие - и да только родственникам мы и нужны. И еще бывает родной по крови - но далеко на другом конце света. И, бывает, родной по крови - но совсем близко.И, бывают, ро	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6854928135871887
73	О красивой женской попе,'' пиковом тузе''	 красивой мужской попе,	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.4341318309307097
74	Вы девушки во сколько лет потеряли свою девственность или до сих пор девственница?	 Девушка во сколько лет потеряли свою девственность? Или до сих пор девственник?	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4500975012779236
75	"Химию жрёте? Неужели фруктов и овощей на рынке нет?""Превращайте еду в лекарство, чтобы не жрать лекарство, как еду""Гипократ"	 Химию жрёте? Неужто фруктов и овощей на рынке нет? Тогда вас не убедил 6-летний мальчик?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1449784040451049
76	Будет, не сомневайся. Только пополнять его будут такие как ты. Ну а что, государству российскому нужны рабы, будешь хорошим рабом, послушным и верным своему хозяину.	 Будет, не сомневайтесь. Только пополнять его начнут такие как вы. Ну а что, государству российскому требуются рабы, будете хорошим рабом,лушным и верным своему хозяину. Ну а 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5289416909217834
77	"Можно ли познакомиться с девушкой, спросив ""Вы практикуете бдсм""?"	" Можно ли познакомиться с девушкой, спросив ""Вы практикуете бдсм?"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.2789809107780456
78	 Мне 20, тне 35. Живем вместе 4 года.4 годаПогоди погоди. Тебя совратили в 16 лет?	 20, тне 35. Живем вместе 4 года.4 годаПростите, но мне вас надо понять. Вы совратили в 16 л	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0390207804739475
79	Когда все выйдут на площади и начнут скакать вместо того чтоб работать.	 Когда все выйдут на площади и начнут скакать вместо того чтоб работать.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.4042591452598572
80	"Что будет если съесть просроченную ватрушку ""Наслаждение с творогом? Если просрачка уже 4 дня?"	 Что будет если съесть просроченную ватрушку? Если просрачка уже 4 дня?	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1320876181125641
81	Не веришь ты в Даху, а зря. Она могёт в философию. а ещё лучше в наркотические трипы	 Верите вы в Даху, а зря. Она может в философию. А ещё лучше в наркотические трипы. Она может 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6999532580375671
82	В общем , такая ситуация когда человек просит по доброй воле , толкнуть его с края высотки , это будет считаться суицидом ?	 Такая ситуация когда человек просит по доброй воле, толкнуть его с краю высотки, это будет считаться суицидом?	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0844215154647827
83	Вот вы всё по себе меряете . А что если стоит выбор между лирикой и шмалью ? Тогда как ?	 Вы всё по себе меряете. А что если стоит выбор между лирикой и шмалью? Тогда как?	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5982984900474548
84	Это прост оттого, что вы не лежали с переломанным хребтом, как овощ, в памперсах	 Проходите в грязном, у вас депрессия. Идите в спортзале начните с ходьбы. Кстати, попробу	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.6999544501304626
85	Весело как у окружающих омеганов горит. Что поделать.	 Смешно как у окружающих людей горит. Что поделать.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.6928964853286743
86	Бога нет или бог - садист?	 Бога нет или бог - убийца?	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.5628491640090942
87	Предлагаю Вам свои услуги по взлому сайтов и w-проектов любой сложности и тематики:• Бизнес-сайты;• Сайты-визитки;• Корпоративные сайты;• Форумы• и другие	 Предлагаю свои услуги по взлому сайтов и w-проектов любой сложности и тематики:• Бизнес-сайты;• Корпоративные сайты.Профессионально.	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315426886081695
88	Не думаю, что прям геноцид, с хачами уже не церемонились приехали в село, где скопление боевиков и дали с градов	 Надеюсь, что прям геноцид, с чеченцами уже не церемонились приехали в село, где скопление боевиков и дали с городов санкц	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.7406426072120667
89	Чому макакий в костюме? Где чуб?	 Что же ваш костюм в костюме? Где же шмот?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.7486264109611511
90	А на лагерях есть гера, как с этим там? Дают ход мусора?	 А на лагерях есть человек, как с этим там? Дают ходы?	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557916797697544
91	Но вот военная промышленность видимо на уровне. В Сирии емнип потерян всего один блохолет, не считая сбитого.Но это тупиковый путь и гибель, СССР подтвердит.	 Вот военная промышленность видимо на уровне. В Сирии емнип потерян всего один самолет, не считая погибшего. Но это тупиковый путь и гибель, СССР подтвердит.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0025055380538105
92	Заказал взлом wt жены все прошло успешно, рекомендую	 Закознал о взломе жены все прошло благополучно, советую продо	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046904720366001
93	Взлом социальных сетей:- Взлом ВКонтакте- Взлом Istg- Взлом Одноклассники- Взлом FИ любых других социальных сетей, работаем также с зарубежными.	 Взлом ВКонтакте- Взлом Одноклассники- Взлом FИ любых других социальных сетей, работаем также с зарубежными.	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313121117651462
94	АвстралийскаяНда. Не зря оззи так жалуются на форчане на засилье азиатов.	 АвторскаяНда. Не зря жалуются на чрезмерную украинизацию населения.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2940717935562134
95	может они вялый видели?или ты от пятки мерял?	 они вялый вид имели? или вы от пятки мерили? или вы от	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0394641496241092
96	Вполне, даже вон рулеточки перебанили. Другое дело что за игру платить не нужно, в отличии от.	 Совершенно, даже вот рулеточные посты перебанили. Другое дело что за игра платить не нужно. Главное что	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023340841289609
